epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,176.33,1.50864,2.37711,0.01322,0.58048,0.61696,0.55473,0.29402,1.43908,1.58742,0.01495,0.00997792,0.00332597,0.00997792,0.00332597,0.00997792,0.00332597,0.00997792,0.00332597
2,307.416,1.42983,1.43697,0.01229,0.66668,0.65649,0.6985,0.38738,1.45419,1.22615,0.01537,0.0198461,0.00661536,0.0198461,0.00661536,0.0198461,0.00661536,0.0198461,0.00661536
3,430.73,1.52644,1.46204,0.01342,0.62113,0.59482,0.62988,0.33648,1.53783,1.55511,0.01642,0.0295822,0.00986074,0.0295822,0.00986074,0.0295822,0.00986074,0.0295822,0.00986074
4,551.888,1.57401,1.47079,0.014,0.44793,0.49439,0.39429,0.1835,1.74175,2.62972,0.01859,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,672.289,1.56142,1.38553,0.01387,0.66323,0.69064,0.71305,0.39115,1.52326,1.18765,0.01615,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,792.966,1.52787,1.35304,0.01334,0.66338,0.68119,0.71939,0.40334,1.45407,1.17605,0.01536,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,913.755,1.49911,1.29325,0.01301,0.65064,0.68742,0.70982,0.40444,1.44263,1.17698,0.01529,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1034.54,1.48785,1.27255,0.01313,0.65499,0.66951,0.70287,0.40067,1.42802,1.22528,0.01486,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1154.7,1.46902,1.22072,0.01262,0.68159,0.6911,0.73247,0.40462,1.44837,1.13768,0.015,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1275.45,1.46914,1.18889,0.01273,0.68933,0.72633,0.73572,0.41522,1.39866,1.08099,0.01458,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1396.75,1.43744,1.17923,0.01244,0.6199,0.68568,0.68554,0.38089,1.46336,1.319,0.01536,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1511.94,1.42322,1.16685,0.01218,0.70204,0.70674,0.74684,0.42655,1.4353,1.09011,0.01483,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1623.76,1.42249,1.14922,0.01218,0.69989,0.7216,0.75668,0.43607,1.40572,1.06447,0.01452,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1735.9,1.40957,1.1082,0.01215,0.69203,0.70903,0.75757,0.43338,1.40232,1.08864,0.01467,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1847.65,1.4016,1.10322,0.01197,0.72254,0.68991,0.7529,0.44198,1.3944,1.06718,0.01444,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1959.28,1.37996,1.0972,0.01168,0.71534,0.72789,0.77328,0.45024,1.38743,1.03512,0.01441,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2070.86,1.36709,1.05886,0.01167,0.72573,0.71217,0.76968,0.45248,1.39982,1.0353,0.01445,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2182.09,1.3624,1.08645,0.01169,0.68263,0.70992,0.73916,0.43709,1.39232,1.0999,0.01431,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2293.25,1.34693,1.06629,0.01151,0.69332,0.68929,0.74084,0.42987,1.38751,1.0761,0.01432,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2407.34,1.33946,1.02552,0.01132,0.70413,0.71217,0.75776,0.44233,1.38838,1.06126,0.01442,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2527.35,1.33434,1.01963,0.01134,0.68099,0.75483,0.73611,0.42786,1.40208,1.07751,0.01455,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2648.49,1.32499,0.98185,0.01125,0.68998,0.73238,0.74345,0.42745,1.39818,1.1042,0.01462,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2769.42,1.31327,0.98152,0.01115,0.73616,0.6749,0.7508,0.4326,1.40482,1.08494,0.01449,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,2890.12,1.29273,0.97083,0.01093,0.70645,0.72519,0.76063,0.44064,1.39837,1.05664,0.01471,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3010.67,1.29196,0.96302,0.01095,0.69277,0.70229,0.73833,0.42735,1.37947,1.13649,0.01423,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3131.21,1.27534,0.93773,0.01079,0.70617,0.73911,0.76732,0.45162,1.39667,1.04464,0.01457,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
