epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.513,2.25377,3.57995,0.00494,0.38085,0.3322,0.3024,0.1006,2.19137,2.40218,0.00667,0.000659004,0.000659004,0.000659004
2,62.0055,2.16248,2.46246,0.00448,0.443,0.4303,0.36515,0.12482,2.26971,2.13692,0.00687,0.00131692,0.00131692,0.00131692
3,90.8811,2.18181,2.32253,0.00456,0.43399,0.43469,0.37171,0.12252,2.19724,2.43968,0.00683,0.00196604,0.00196604,0.00196604
4,119.34,2.15944,2.27567,0.00457,0.38209,0.32492,0.27432,0.08316,2.25261,2.8803,0.0071,0.0019604,0.0019604,0.0019604
5,147.791,2.11422,2.20785,0.00431,0.52297,0.42151,0.44514,0.15914,2.18745,1.96868,0.00695,0.0019472,0.0019472,0.0019472
6,176.31,2.17488,2.14592,0.00459,0.50708,0.4764,0.47344,0.17279,2.08641,1.89581,0.00638,0.001934,0.001934,0.001934
7,204.952,2.11588,2.09655,0.00424,0.50483,0.48408,0.45809,0.16889,2.04986,2.09153,0.00605,0.0019208,0.0019208,0.0019208
8,233.477,2.1019,1.98757,0.00414,0.53953,0.48189,0.47855,0.17602,2.12237,1.7501,0.00642,0.0019076,0.0019076,0.0019076
9,261.986,2.07932,2.01861,0.00443,0.5292,0.49945,0.50731,0.19091,2.09107,1.74004,0.0063,0.0018944,0.0018944,0.0018944
10,290.818,2.07292,1.98063,0.00427,0.55292,0.51181,0.53387,0.18585,2.18046,1.65215,0.00645,0.0018812,0.0018812,0.0018812
11,319.271,2.04167,1.93626,0.0041,0.53511,0.55104,0.52117,0.18911,2.08923,1.73998,0.00624,0.001868,0.001868,0.001868
12,347.864,2.05644,1.86328,0.00418,0.54467,0.51153,0.51368,0.1639,2.24685,1.72343,0.00682,0.0018548,0.0018548,0.0018548
13,376.302,2.05623,1.87568,0.00427,0.47468,0.53677,0.48325,0.17849,2.02173,1.97469,0.00612,0.0018416,0.0018416,0.0018416
14,404.778,2.00029,1.82885,0.00422,0.58488,0.52584,0.54734,0.19893,2.15135,1.68557,0.00652,0.0018284,0.0018284,0.0018284
15,433.254,1.99453,1.77758,0.00406,0.5796,0.56422,0.57333,0.22433,2.03232,1.65594,0.00609,0.0018152,0.0018152,0.0018152
16,461.996,2.01779,1.86436,0.004,0.58952,0.58946,0.58454,0.21865,2.05396,1.54871,0.00606,0.001802,0.001802,0.001802
17,490.453,2.02358,1.80802,0.00407,0.48492,0.49286,0.46231,0.16732,2.08281,1.85022,0.00634,0.0017888,0.0017888,0.0017888
18,519.29,2.03358,1.76199,0.00419,0.61495,0.54873,0.58767,0.22658,2.04856,1.69464,0.00605,0.0017756,0.0017756,0.0017756
19,547.8,1.9614,1.75874,0.00411,0.5845,0.54116,0.57216,0.22539,2.05029,1.5652,0.00611,0.0017624,0.0017624,0.0017624
20,576.316,1.96158,1.71068,0.00402,0.59703,0.5806,0.6098,0.24868,1.95723,1.57993,0.00578,0.0017492,0.0017492,0.0017492
21,604.793,1.95993,1.73575,0.00393,0.5751,0.5735,0.58288,0.21449,2.12793,1.54375,0.0063,0.001736,0.001736,0.001736
22,633.238,1.94255,1.68684,0.00384,0.55162,0.55104,0.53507,0.20474,1.97738,1.64034,0.00591,0.0017228,0.0017228,0.0017228
23,661.743,1.98363,1.78943,0.0041,0.64199,0.52909,0.58213,0.23005,2.00879,1.5914,0.00605,0.0017096,0.0017096,0.0017096
24,690.109,1.97356,1.69307,0.00418,0.54208,0.56531,0.53401,0.20467,2.00805,1.67725,0.00605,0.0016964,0.0016964,0.0016964
25,718.485,1.95025,1.68401,0.00403,0.51982,0.55214,0.53588,0.21979,1.9307,1.81767,0.00573,0.0016832,0.0016832,0.0016832
26,746.921,1.9281,1.65262,0.0041,0.58268,0.5258,0.54244,0.20669,2.00849,1.59796,0.00602,0.00167,0.00167,0.00167
27,775.277,1.95399,1.7238,0.00424,0.58199,0.56241,0.58551,0.2417,1.93428,1.62065,0.00571,0.0016568,0.0016568,0.0016568
28,803.602,1.95444,1.62329,0.00397,0.62094,0.59697,0.61973,0.26335,1.91404,1.45747,0.00568,0.0016436,0.0016436,0.0016436
29,832.183,1.93355,1.63919,0.00391,0.6107,0.58288,0.61319,0.24141,1.99762,1.43588,0.00598,0.0016304,0.0016304,0.0016304
30,861.12,1.91278,1.60545,0.004,0.57033,0.54931,0.56479,0.19272,2.14079,1.66242,0.00642,0.0016172,0.0016172,0.0016172
31,890.3,1.93897,1.67082,0.00404,0.553,0.56861,0.56614,0.21395,2.0223,1.73213,0.00614,0.001604,0.001604,0.001604
32,920.502,1.92037,1.66052,0.00383,0.61445,0.61053,0.64798,0.26949,1.96977,1.39905,0.00574,0.0015908,0.0015908,0.0015908
33,951.574,1.91226,1.5904,0.00385,0.58895,0.58506,0.60152,0.24689,1.91819,1.5401,0.00567,0.0015776,0.0015776,0.0015776
34,979.479,1.9319,1.60224,0.00391,0.62182,0.60263,0.61562,0.25068,1.98757,1.40964,0.0059,0.0015644,0.0015644,0.0015644
35,1007.72,1.94458,1.60528,0.00378,0.57901,0.56312,0.56604,0.23709,1.93347,1.52143,0.00576,0.0015512,0.0015512,0.0015512
36,1035.74,1.92485,1.5814,0.0038,0.61372,0.6169,0.6289,0.2653,1.97638,1.36226,0.00598,0.001538,0.001538,0.001538
37,1063.77,1.91567,1.55549,0.0039,0.56781,0.54007,0.54099,0.2158,1.95319,1.72096,0.00579,0.0015248,0.0015248,0.0015248
38,1091.67,1.88745,1.58499,0.00387,0.61804,0.60593,0.62993,0.26274,1.95174,1.44531,0.00578,0.0015116,0.0015116,0.0015116
39,1120.21,1.87605,1.49755,0.00382,0.64829,0.57849,0.60923,0.23876,2.04091,1.42602,0.00607,0.0014984,0.0014984,0.0014984
40,1149.99,1.89926,1.56494,0.00383,0.6365,0.59166,0.6262,0.2383,2.01959,1.52501,0.00602,0.0014852,0.0014852,0.0014852
41,1179.17,1.89461,1.53111,0.00376,0.58443,0.5697,0.57928,0.21774,2.08314,1.5518,0.00618,0.001472,0.001472,0.001472
42,1207.61,1.88195,1.48845,0.00378,0.62668,0.62835,0.63259,0.23703,2.10594,1.47023,0.00614,0.0014588,0.0014588,0.0014588
43,1235.9,1.90375,1.54423,0.00404,0.60297,0.57629,0.58509,0.22446,2.07175,1.53215,0.00609,0.0014456,0.0014456,0.0014456
44,1272.58,1.91181,1.53372,0.00375,0.62716,0.63008,0.6388,0.22748,2.17845,1.3806,0.00649,0.0014324,0.0014324,0.0014324
45,1308.66,1.8945,1.52445,0.00396,0.66472,0.5719,0.61183,0.22944,2.08448,1.41474,0.00622,0.0014192,0.0014192,0.0014192
46,1337.05,1.87485,1.47725,0.00368,0.68887,0.59056,0.65319,0.27957,1.93789,1.3827,0.00573,0.001406,0.001406,0.001406
47,1365.54,1.90633,1.49914,0.00376,0.65191,0.56946,0.6201,0.2533,1.99902,1.44757,0.00596,0.0013928,0.0013928,0.0013928
48,1394.27,1.88776,1.50079,0.00378,0.61955,0.60154,0.62805,0.24752,2.02106,1.42256,0.00606,0.0013796,0.0013796,0.0013796
49,1422.66,1.84564,1.48842,0.00365,0.56883,0.56202,0.55677,0.22492,1.96515,1.54839,0.00573,0.0013664,0.0013664,0.0013664
50,1450.96,1.89924,1.44663,0.00381,0.61049,0.60154,0.61331,0.24434,2.03776,1.58138,0.00612,0.0013532,0.0013532,0.0013532
51,1479.23,1.85444,1.42904,0.00382,0.60448,0.57849,0.58887,0.20413,2.16587,1.47907,0.00632,0.00134,0.00134,0.00134
52,1507.68,1.86404,1.43589,0.00385,0.63712,0.60154,0.63861,0.26511,1.97325,1.41104,0.00588,0.0013268,0.0013268,0.0013268
53,1536,1.88532,1.49162,0.00376,0.58867,0.53019,0.54298,0.21468,2.00279,1.64959,0.0059,0.0013136,0.0013136,0.0013136
54,1564.58,1.87981,1.49188,0.00385,0.67109,0.59824,0.64583,0.25783,2.01963,1.38854,0.00594,0.0013004,0.0013004,0.0013004
55,1592.92,1.86512,1.45287,0.00368,0.63826,0.59934,0.64193,0.27543,1.95464,1.34078,0.00577,0.0012872,0.0012872,0.0012872
56,1621.18,1.87144,1.46782,0.00377,0.60164,0.59847,0.60788,0.25659,1.91443,1.47707,0.00563,0.001274,0.001274,0.001274
57,1649.48,1.86168,1.42283,0.00374,0.65091,0.60175,0.6273,0.2615,1.94871,1.38423,0.00587,0.0012608,0.0012608,0.0012608
58,1677.97,1.85318,1.35725,0.00368,0.64024,0.59934,0.63556,0.26972,1.93989,1.45167,0.00566,0.0012476,0.0012476,0.0012476
59,1706.19,1.81376,1.32836,0.00366,0.63196,0.58617,0.60775,0.26393,1.94237,1.46287,0.00573,0.0012344,0.0012344,0.0012344
60,1734.71,1.82244,1.34962,0.00371,0.5856,0.58635,0.56723,0.24221,1.94427,1.52527,0.00564,0.0012212,0.0012212,0.0012212
61,1762.98,1.82846,1.37579,0.0037,0.65337,0.59276,0.63973,0.27906,1.92961,1.36716,0.00572,0.001208,0.001208,0.001208
62,1793.59,1.85767,1.33034,0.00362,0.65032,0.59934,0.6335,0.25364,2.0459,1.37838,0.00614,0.0011948,0.0011948,0.0011948
63,1835.25,1.85867,1.37081,0.00377,0.61959,0.60373,0.61561,0.25725,1.96994,1.44042,0.0058,0.0011816,0.0011816,0.0011816
64,1863.64,1.77351,1.29012,0.00344,0.64535,0.6202,0.64555,0.2663,2.01291,1.36433,0.00607,0.0011684,0.0011684,0.0011684
65,1893,1.83986,1.38787,0.00362,0.61429,0.60487,0.59781,0.24702,1.96407,1.46093,0.0057,0.0011552,0.0011552,0.0011552
66,1924.62,1.8057,1.29381,0.00348,0.63851,0.58507,0.62136,0.2617,1.93643,1.50631,0.00566,0.001142,0.001142,0.001142
