epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8559,1.97926,6.27477,1.7392,0.34804,0.43287,0.26998,0.08082,2.1522,2.96537,1.87564,0.000475188,0.000475188,0.000475188
2,134.31,1.91148,3.16733,1.71589,0.35563,0.46346,0.28446,0.08303,2.25609,2.54705,1.82621,0.000942102,0.000942102,0.000942102
3,190.875,1.88848,2.35201,1.72723,0.33342,0.46064,0.32155,0.09669,2.13334,2.58604,1.68694,0.00139958,0.00139958,0.00139958
4,246.911,1.8446,2.21816,1.70098,0.23883,0.28306,0.21223,0.07075,2.12213,5.5382,1.70587,0.00138656,0.00138656,0.00138656
5,303.065,1.84009,2.0279,1.68441,0.44509,0.53061,0.41211,0.12191,2.13717,2.04857,1.84252,0.00137241,0.00137241,0.00137241
6,360.577,1.80035,1.95617,1.67611,0.4972,0.47761,0.47585,0.16229,2.07637,1.90715,1.73612,0.00135826,0.00135826,0.00135826
7,418.355,1.79871,1.90698,1.68039,0.47501,0.58286,0.4987,0.16605,2.05484,1.95984,1.72326,0.00134412,0.00134412,0.00134412
8,474.8,1.74979,1.80431,1.63158,0.51157,0.50041,0.49716,0.18213,2.16038,1.99134,1.79334,0.00132997,0.00132997,0.00132997
9,529.277,1.72577,1.78112,1.62018,0.60566,0.50786,0.52783,0.17549,2.13244,1.87967,1.73505,0.00131582,0.00131582,0.00131582
10,583.756,1.70236,1.74646,1.61723,0.39884,0.50109,0.45794,0.15699,2.11177,1.95678,1.73401,0.00130168,0.00130168,0.00130168
11,640.296,1.66228,1.64826,1.5817,0.51893,0.581,0.52854,0.18204,2.12649,1.70266,1.71903,0.00128753,0.00128753,0.00128753
12,694.657,1.68265,1.65596,1.57118,0.49988,0.50007,0.43186,0.15676,2.1297,1.86123,1.75936,0.00127338,0.00127338,0.00127338
13,749.007,1.63692,1.60313,1.56705,0.57354,0.52498,0.51019,0.1778,2.18393,1.83404,1.79658,0.00125923,0.00125923,0.00125923
14,803.302,1.62368,1.54956,1.53734,0.47907,0.59367,0.49479,0.18399,2.13549,1.72137,1.75784,0.00124509,0.00124509,0.00124509
15,857.617,1.63283,1.53869,1.55546,0.5785,0.57032,0.55242,0.18351,2.15183,1.77601,1.74589,0.00123094,0.00123094,0.00123094
16,911.928,1.6242,1.56398,1.54269,0.62847,0.54847,0.60044,0.20799,2.16944,1.64424,1.76637,0.00121679,0.00121679,0.00121679
17,966.438,1.62011,1.51218,1.53492,0.56948,0.59479,0.57992,0.19502,2.13304,1.68676,1.72291,0.00120265,0.00120265,0.00120265
18,1020.75,1.59922,1.5239,1.51023,0.57174,0.61236,0.59737,0.21015,2.1611,1.61063,1.7586,0.0011885,0.0011885,0.0011885
19,1075.23,1.54745,1.4216,1.48982,0.53244,0.60616,0.56662,0.20006,2.16054,1.61216,1.78299,0.00117435,0.00117435,0.00117435
20,1130.51,1.53603,1.42759,1.4929,0.49054,0.49066,0.47372,0.16535,2.18021,1.72534,1.77222,0.00116021,0.00116021,0.00116021
21,1187.08,1.56101,1.38981,1.4886,0.60587,0.54757,0.56482,0.20757,2.18204,1.77509,1.73906,0.00114606,0.00114606,0.00114606
22,1243.45,1.5161,1.35307,1.46639,0.55168,0.58205,0.54792,0.19056,2.22946,1.59447,1.80987,0.00113191,0.00113191,0.00113191
23,1297.42,1.51444,1.32782,1.45071,0.53368,0.55702,0.50832,0.18263,2.25375,1.72147,1.88298,0.00111776,0.00111776,0.00111776
24,1351.56,1.49346,1.35911,1.4599,0.543,0.56427,0.51628,0.1788,2.24195,1.69552,1.83912,0.00110362,0.00110362,0.00110362
25,1405.56,1.45425,1.2729,1.44083,0.62316,0.60034,0.57551,0.2086,2.19562,1.67482,1.85457,0.00108947,0.00108947,0.00108947
26,1459.7,1.45407,1.29311,1.43671,0.48933,0.58969,0.54935,0.19709,2.24126,1.65981,1.85601,0.00107532,0.00107532,0.00107532
27,1513.86,1.4487,1.22469,1.41997,0.55055,0.5231,0.48861,0.16733,2.26925,1.96926,1.87389,0.00106118,0.00106118,0.00106118
28,1568.15,1.44394,1.22817,1.41696,0.52663,0.61151,0.55268,0.20714,2.22211,1.66256,1.86081,0.00104703,0.00104703,0.00104703
29,1622.27,1.41675,1.20344,1.39617,0.47711,0.6365,0.52605,0.19165,2.21029,1.66245,1.84722,0.00103288,0.00103288,0.00103288
30,1676.38,1.38779,1.18739,1.39084,0.57612,0.56668,0.56406,0.21866,2.25646,1.67995,1.91168,0.00101873,0.00101873,0.00101873
31,1730.58,1.36449,1.17141,1.37287,0.5545,0.6247,0.58241,0.22022,2.27138,1.57903,1.92505,0.00100459,0.00100459,0.00100459
32,1785.49,1.36586,1.16265,1.38446,0.59042,0.63976,0.58263,0.21636,2.32025,1.60924,1.95554,0.00099044,0.00099044,0.00099044
33,1839.98,1.34063,1.12552,1.35501,0.60467,0.63317,0.58165,0.22508,2.28106,1.69103,1.94367,0.000976293,0.000976293,0.000976293
34,1894.37,1.33192,1.12662,1.35488,0.64808,0.47809,0.534,0.20793,2.34419,1.72615,1.99727,0.000962146,0.000962146,0.000962146
35,1948.52,1.33864,1.08973,1.34784,0.60006,0.56015,0.56503,0.21363,2.30744,1.59623,1.97288,0.000947999,0.000947999,0.000947999
36,2002.66,1.28019,1.09411,1.32655,0.54401,0.65929,0.56235,0.19247,2.31282,1.61589,2.00335,0.000933851,0.000933851,0.000933851
37,2056.67,1.26919,1.10947,1.32944,0.54005,0.57245,0.51744,0.19039,2.37372,1.74955,2.01901,0.000919704,0.000919704,0.000919704
38,2110.63,1.29219,1.07977,1.32148,0.57637,0.5811,0.56171,0.21281,2.33809,1.62359,2.01587,0.000905557,0.000905557,0.000905557
39,2164.52,1.24035,1.03655,1.30996,0.65475,0.53272,0.57542,0.21269,2.30878,1.68047,1.98059,0.00089141,0.00089141,0.00089141
40,2217.86,1.24492,1.02128,1.3081,0.56639,0.57464,0.53481,0.19856,2.38322,1.61843,2.02798,0.000877263,0.000877263,0.000877263
41,2271.01,1.23586,1.03091,1.29725,0.61938,0.53461,0.57239,0.211,2.42057,1.72858,2.09276,0.000863116,0.000863116,0.000863116
42,2324.17,1.23009,1.01867,1.29698,0.60459,0.60632,0.57242,0.22435,2.34611,1.67364,2.06817,0.000848969,0.000848969,0.000848969
43,2377.81,1.20908,0.9919,1.26718,0.65668,0.5574,0.61891,0.23748,2.32247,1.67848,2.04742,0.000834822,0.000834822,0.000834822
44,2431.26,1.18494,0.9702,1.26302,0.62003,0.59584,0.5765,0.23706,2.30424,1.60785,2.01688,0.000820675,0.000820675,0.000820675
