epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.64,2.30494,21.3302,2.00856,0.16225,0.20134,0.13114,0.03792,2.74543,9.91784,1.99168,0.000476113,0.000476113,0.000476113
2,315.696,2.07992,10.7082,1.9208,0.63094,0.19538,0.13596,0.03893,2.55695,9.75577,1.9591,0.00094616,0.00094616,0.00094616
3,466.692,2.04934,10.6893,1.88773,0.65819,0.25377,0.15261,0.05159,2.61816,11.4972,1.97818,0.00140992,0.00140992,0.00140992
4,617.258,1.99655,10.1673,1.86961,0.65746,0.23109,0.18624,0.05353,2.43306,9.6837,1.8274,0.00140071,0.00140071,0.00140071
5,768.085,1.96791,10.2503,1.79783,0.19576,0.24366,0.16505,0.05129,2.49768,10.5369,1.87344,0.00139127,0.00139127,0.00139127
6,918.393,1.95007,9.96983,1.78999,0.65251,0.26471,0.21559,0.06887,2.41995,10.3105,1.81637,0.00138184,0.00138184,0.00138184
7,1076.12,1.93086,9.73211,1.7742,0.62025,0.26891,0.17611,0.05703,2.35821,9.03169,1.78714,0.00137241,0.00137241,0.00137241
8,1226.71,1.89158,9.29018,1.74081,0.69695,0.20798,0.23571,0.07158,2.33533,8.82004,1.76643,0.00136298,0.00136298,0.00136298
9,1377.41,1.89422,9.29232,1.74868,0.17929,0.36422,0.20689,0.06246,2.49772,11.6931,1.85096,0.00135355,0.00135355,0.00135355
10,1527.61,1.82649,8.90403,1.71017,0.21898,0.35655,0.2309,0.06451,2.39728,10.6098,1.83623,0.00134412,0.00134412,0.00134412
11,1678.48,1.85621,8.89065,1.69537,0.14853,0.32051,0.24916,0.07221,2.4726,10.0326,1.92072,0.00133469,0.00133469,0.00133469
12,1829.54,1.84949,8.78921,1.6863,0.24243,0.39811,0.24144,0.07782,2.3746,11.6347,1.85522,0.00132525,0.00132525,0.00132525
13,1980.26,1.80418,8.65294,1.68524,0.22319,0.34548,0.28083,0.08316,2.30184,8.1335,1.74707,0.00131582,0.00131582,0.00131582
14,2130.65,1.7965,8.30396,1.68317,0.31637,0.49076,0.34573,0.10164,2.32218,8.31816,1.8033,0.00130639,0.00130639,0.00130639
15,2280.87,1.81972,8.35017,1.69866,0.2888,0.40259,0.28613,0.08343,2.28657,11.1772,1.73856,0.00129696,0.00129696,0.00129696
16,2433.01,1.76965,8.15362,1.67741,0.31482,0.53589,0.32039,0.10159,2.24488,9.39097,1.7339,0.00128753,0.00128753,0.00128753
17,2583.28,1.77975,8.12306,1.66751,0.29283,0.57048,0.31881,0.0981,2.2987,8.98837,1.74719,0.0012781,0.0012781,0.0012781
18,2733.3,1.78175,8.04057,1.64234,0.2264,0.62381,0.30431,0.09599,2.35453,19.8094,1.87471,0.00126867,0.00126867,0.00126867
19,2883.33,1.79027,7.96884,1.65844,0.24895,0.65998,0.3123,0.09349,2.33598,8.74015,1.8021,0.00125923,0.00125923,0.00125923
20,3033.91,1.77036,7.87636,1.65407,0.29133,0.54128,0.28061,0.08534,2.42867,12.9649,1.94642,0.0012498,0.0012498,0.0012498
21,3184.25,1.76881,7.8826,1.64607,0.31442,0.57889,0.30823,0.09161,2.34011,14.2465,1.80554,0.00124037,0.00124037,0.00124037
22,3343.2,1.74491,7.62981,1.63692,0.38259,0.43805,0.36252,0.09559,2.32265,13.5473,1.79549,0.00123094,0.00123094,0.00123094
23,3493.67,1.72211,7.53587,1.61028,0.31116,0.65739,0.38665,0.11191,2.27369,24.3499,1.77041,0.00122151,0.00122151,0.00122151
24,3648.53,1.74317,7.73888,1.61802,0.34015,0.44489,0.31799,0.09289,2.31797,11.2855,1.7576,0.00121208,0.00121208,0.00121208
25,3803.71,1.67971,7.54459,1.58944,0.25337,0.64905,0.3291,0.0983,2.34569,20.5162,1.79143,0.00120265,0.00120265,0.00120265
26,3958.55,1.68807,7.42539,1.58443,0.32825,0.63011,0.35067,0.10435,2.29839,14.4311,1.75122,0.00119322,0.00119322,0.00119322
27,4113.45,1.71003,7.43921,1.61248,0.30841,0.59632,0.33251,0.10158,2.27827,10.548,1.74118,0.00118378,0.00118378,0.00118378
28,4267.98,1.67999,7.43961,1.59107,0.27814,0.54321,0.33786,0.09834,2.27473,9.07856,1.77438,0.00117435,0.00117435,0.00117435
29,4416.91,1.6836,7.45622,1.5669,0.26914,0.61863,0.29632,0.07867,2.39238,12.5607,1.84294,0.00116492,0.00116492,0.00116492
30,4564.05,1.6769,7.28365,1.56507,0.39336,0.48025,0.38397,0.11268,2.30179,7.52583,1.73877,0.00115549,0.00115549,0.00115549
31,4712.19,1.67109,7.16156,1.58501,0.40713,0.52867,0.3864,0.11411,2.20956,14.1951,1.73782,0.00114606,0.00114606,0.00114606
