epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.054,1.46419,13.6732,0.00289,0.59731,0.54202,0.55918,0.18196,1.95368,8.71335,0.00426,0.000666305,0.000666305,0.000666305
2,361.016,1.47254,6.56666,0.00288,0.43729,0.52659,0.46516,0.16085,1.88237,7.40183,0.00414,0.00132417,0.00132417,0.00132417
3,539.889,1.42689,6.44334,0.00279,0.53904,0.58569,0.56094,0.22588,1.83226,5.70721,0.00402,0.00197324,0.00197324,0.00197324
4,711.096,1.44757,5.83426,0.00287,0.52501,0.60479,0.52478,0.18391,1.85214,6.14409,0.0041,0.0019604,0.0019604,0.0019604
5,881.34,1.3967,5.98949,0.00269,0.51883,0.5567,0.5602,0.19497,1.84846,6.4532,0.00416,0.0019472,0.0019472,0.0019472
6,1052.1,1.37676,5.94087,0.00266,0.52854,0.55918,0.5545,0.22042,1.7558,6.287,0.00375,0.001934,0.001934,0.001934
7,1222.72,1.35765,5.73248,0.00256,0.53911,0.64322,0.56747,0.19668,1.77577,7.07442,0.00389,0.0019208,0.0019208,0.0019208
8,1392.68,1.33347,5.46046,0.00257,0.6023,0.61063,0.63065,0.27039,1.73505,5.37391,0.00373,0.0019076,0.0019076,0.0019076
9,1564.17,1.35744,5.38883,0.00261,0.55143,0.62264,0.55513,0.21545,1.78395,5.98233,0.0039,0.0018944,0.0018944,0.0018944
10,1740.12,1.36055,5.32825,0.00266,0.54529,0.56261,0.56504,0.22911,1.76313,6.15551,0.00384,0.0018812,0.0018812,0.0018812
11,1911.95,1.36794,5.23361,0.00266,0.52374,0.64666,0.57512,0.22715,1.84409,6.03421,0.00407,0.001868,0.001868,0.001868
12,2083.2,1.35173,5.11672,0.00264,0.60593,0.56432,0.60279,0.24338,1.80997,5.6188,0.00401,0.0018548,0.0018548,0.0018548
13,2253.52,1.33091,5.03327,0.00257,0.58832,0.5883,0.61214,0.24688,1.78027,5.46852,0.00384,0.0018416,0.0018416,0.0018416
14,2424.25,1.32109,4.96599,0.00254,0.60325,0.60549,0.62704,0.25331,1.76275,5.36684,0.00381,0.0018284,0.0018284,0.0018284
15,2595.21,1.34065,4.96127,0.00253,0.59702,0.63808,0.60591,0.23432,1.79573,5.51853,0.00395,0.0018152,0.0018152,0.0018152
16,2765.67,1.28881,5.11737,0.00249,0.53256,0.63511,0.58879,0.24018,1.7422,5.67879,0.00371,0.001802,0.001802,0.001802
17,2937.86,1.33987,5.04743,0.00255,0.54853,0.59177,0.57791,0.2123,1.77616,5.93894,0.00393,0.0017888,0.0017888,0.0017888
18,3108.54,1.2899,5.03139,0.0025,0.57067,0.70326,0.58859,0.21759,1.83673,5.46287,0.00402,0.0017756,0.0017756,0.0017756
19,3282.6,1.33321,5.00424,0.00262,0.56937,0.62607,0.64911,0.24918,1.76102,5.40199,0.00382,0.0017624,0.0017624,0.0017624
20,3455.95,1.2584,4.72928,0.00241,0.55406,0.62017,0.61483,0.24085,1.86872,5.30878,0.00414,0.0017492,0.0017492,0.0017492
21,3630.66,1.27859,4.66891,0.00245,0.63775,0.60377,0.65526,0.24052,1.77679,5.80588,0.00381,0.001736,0.001736,0.001736
22,3808.04,1.30084,4.60677,0.00251,0.70897,0.62679,0.7161,0.29029,1.78626,5.30164,0.00388,0.0017228,0.0017228,0.0017228
23,3980.03,1.32818,4.81081,0.00253,0.62365,0.67067,0.63748,0.24058,1.77332,5.38363,0.00385,0.0017096,0.0017096,0.0017096
24,4153.4,1.27322,4.55107,0.00241,0.63718,0.57118,0.64373,0.25496,1.80489,5.54381,0.00402,0.0016964,0.0016964,0.0016964
25,4325.86,1.29703,4.62582,0.00249,0.64791,0.63293,0.66047,0.25427,1.76088,5.03201,0.00386,0.0016832,0.0016832,0.0016832
26,4499.5,1.27032,4.45592,0.00242,0.74644,0.58068,0.66195,0.25907,1.77473,nan,0.00388,0.00167,0.00167,0.00167
27,4675.04,1.27922,4.46845,0.00243,0.63176,0.6945,0.70509,0.2672,1.81286,nan,0.0039,0.0016568,0.0016568,0.0016568
28,4847.71,1.27191,4.48013,0.00243,0.61657,0.60404,0.64989,0.29207,1.63428,nan,0.00346,0.0016436,0.0016436,0.0016436
29,5020,1.28005,4.40244,0.00239,0.62821,0.64151,0.69607,0.27284,1.73473,nan,0.00375,0.0016304,0.0016304,0.0016304
30,5192.58,1.27174,4.42154,0.0024,0.60143,0.62436,0.6675,0.26418,1.74577,nan,0.00382,0.0016172,0.0016172,0.0016172
31,5365.26,1.26458,4.42124,0.00237,0.59467,0.63293,0.624,0.2284,1.78637,5.4278,0.00395,0.001604,0.001604,0.001604
32,5536.43,1.27842,4.60895,0.00248,0.60672,0.66381,0.61731,0.25678,1.71419,nan,0.00366,0.0015908,0.0015908,0.0015908
33,5707.33,1.22965,4.09915,0.00238,0.63986,0.65866,0.68314,0.27981,1.77432,nan,0.00386,0.0015776,0.0015776,0.0015776
34,5879.34,1.23669,4.07587,0.00234,0.74336,0.59005,0.66379,0.25162,1.77256,5.5292,0.0039,0.0015644,0.0015644,0.0015644
35,6051.75,1.27031,4.43826,0.00247,0.6504,0.66038,0.71467,0.27311,1.76012,5.19461,0.0038,0.0015512,0.0015512,0.0015512
36,6224.42,1.24042,4.21362,0.00238,0.59858,0.6741,0.63631,0.23924,1.74463,nan,0.00382,0.001538,0.001538,0.001538
37,6397.83,1.26779,4.26304,0.00247,0.68068,0.71698,0.75265,0.29979,1.70118,4.74396,0.00364,0.0015248,0.0015248,0.0015248
38,6571.29,1.26249,4.0255,0.00237,0.66586,0.61921,0.66534,0.25601,1.75652,5.6666,0.00381,0.0015116,0.0015116,0.0015116
39,6743.81,1.25633,4.16821,0.00237,0.73759,0.66724,0.7336,0.27632,1.75384,5.19283,0.00384,0.0014984,0.0014984,0.0014984
40,6915.9,1.24306,4.0606,0.00241,0.77908,0.6412,0.75618,0.31384,1.75724,nan,0.00379,0.0014852,0.0014852,0.0014852
41,7088.79,1.25281,4.1069,0.00233,0.69203,0.6295,0.67695,0.27754,1.76359,nan,0.00382,0.001472,0.001472,0.001472
42,7261.72,1.23977,4.07135,0.00234,0.63938,0.65523,0.69166,0.29565,1.73291,nan,0.00378,0.0014588,0.0014588,0.0014588
43,7433.7,1.22927,4.01365,0.00234,0.73,0.65853,0.74221,0.31206,1.74682,nan,0.0038,0.0014456,0.0014456,0.0014456
44,7605.67,1.22343,3.96661,0.00235,0.68905,0.66517,0.71911,0.29356,1.73268,5.15641,0.00377,0.0014324,0.0014324,0.0014324
45,7777.75,1.23645,3.96077,0.00234,0.75969,0.62607,0.71293,0.29745,1.75862,5.57565,0.00383,0.0014192,0.0014192,0.0014192
46,7950.68,1.24199,3.99949,0.00235,0.76081,0.60015,0.70803,0.28096,1.77927,5.1392,0.00389,0.001406,0.001406,0.001406
47,8123.05,1.25624,4.04759,0.00237,0.6999,0.66007,0.70267,0.26306,1.78294,5.37602,0.00389,0.0013928,0.0013928,0.0013928
48,8294.28,1.19925,3.83317,0.00228,0.69121,0.64887,0.70263,0.29897,1.75373,4.89096,0.00379,0.0013796,0.0013796,0.0013796
49,8466.71,1.22869,3.86609,0.00235,0.74542,0.68439,0.72421,0.28859,1.74228,4.98758,0.00375,0.0013664,0.0013664,0.0013664
50,8639.4,1.2369,3.83942,0.00235,0.74571,0.71184,0.76617,0.30537,1.7559,4.77713,0.00382,0.0013532,0.0013532,0.0013532
51,8812.41,1.24128,3.75446,0.00232,0.76197,0.69183,0.75965,0.29879,1.79554,5.22204,0.00388,0.00134,0.00134,0.00134
52,8984.81,1.20512,3.7559,0.00227,0.71807,0.65968,0.71839,0.2469,1.85084,5.29713,0.00409,0.0013268,0.0013268,0.0013268
53,9157.05,1.21931,3.78328,0.0023,0.71777,0.6587,0.71092,0.2671,1.82432,5.40039,0.00405,0.0013136,0.0013136,0.0013136
54,9329.12,1.2071,3.59889,0.00229,0.70248,0.66823,0.73756,0.29561,1.83475,5.19742,0.00404,0.0013004,0.0013004,0.0013004
55,9501.16,1.19248,3.61062,0.00229,0.71552,0.66552,0.72354,0.2821,1.80703,4.67747,0.00399,0.0012872,0.0012872,0.0012872
56,9672.47,1.21005,3.83512,0.00232,0.68447,0.65866,0.69679,0.26729,1.75651,5.52254,0.00383,0.001274,0.001274,0.001274
57,9843.99,1.19553,3.70455,0.00225,0.76791,0.64322,0.70344,0.26911,1.79165,4.87785,0.00395,0.0012608,0.0012608,0.0012608
58,10013.5,1.21121,3.61477,0.00231,0.74137,0.67361,0.74393,0.30875,1.7374,4.87214,0.0038,0.0012476,0.0012476,0.0012476
59,10186.9,1.1845,3.50945,0.00229,0.76573,0.65596,0.73762,0.2743,1.79315,4.91237,0.00399,0.0012344,0.0012344,0.0012344
60,10358.9,1.22202,3.56967,0.00227,0.75444,0.6964,0.75641,0.30673,1.78215,4.58381,0.00389,0.0012212,0.0012212,0.0012212
61,10531.3,1.19849,3.49461,0.00228,0.73754,0.63636,0.73516,0.30539,1.76072,5.09195,0.00387,0.001208,0.001208,0.001208
62,10704.7,1.22142,3.49143,0.00233,0.71076,0.66381,0.69041,0.27468,1.78628,5.3388,0.00392,0.0011948,0.0011948,0.0011948
63,10875.4,1.17726,3.27905,0.0022,0.67496,0.65009,0.68365,0.24945,1.83911,5.2124,0.0041,0.0011816,0.0011816,0.0011816
64,11047.9,1.19049,3.37074,0.00228,0.71952,0.60034,0.69801,0.25618,1.77183,5.24773,0.00386,0.0011684,0.0011684,0.0011684
65,11218.1,1.19155,3.44721,0.00223,0.80399,0.71355,0.7679,0.29516,1.75195,4.78144,0.00385,0.0011552,0.0011552,0.0011552
66,11390.7,1.18062,3.33691,0.00221,0.73036,0.7187,0.75986,0.31061,1.76649,4.72215,0.00386,0.001142,0.001142,0.001142
67,11563.7,1.21049,3.42832,0.00227,0.77116,0.68954,0.74956,0.28985,1.76113,5.10713,0.00386,0.0011288,0.0011288,0.0011288
68,11738.2,1.20805,3.35566,0.00228,0.74314,0.64514,0.73766,0.30429,1.7466,5.05477,0.00375,0.0011156,0.0011156,0.0011156
69,11910.3,1.18064,3.27619,0.00224,0.78349,0.7014,0.77878,0.2821,1.84992,4.99983,0.00406,0.0011024,0.0011024,0.0011024
70,12081.7,1.1552,3.1726,0.00217,0.74037,0.6295,0.7304,0.28688,1.8091,5.17165,0.00394,0.0010892,0.0010892,0.0010892
71,12253.6,1.18123,3.23632,0.00223,0.77392,0.75815,0.76316,0.29237,1.82385,4.99737,0.004,0.001076,0.001076,0.001076
72,12425.7,1.15449,3.21183,0.00217,0.78766,0.63979,0.7215,0.2913,1.81638,5.16836,0.004,0.0010628,0.0010628,0.0010628
73,12598.2,1.17789,3.211,0.00225,0.73978,0.64837,0.71814,0.2974,1.77738,5.12772,0.00389,0.0010496,0.0010496,0.0010496
74,12770.4,1.1968,3.28566,0.00231,0.75331,0.68611,0.72368,0.27508,1.86378,nan,0.00413,0.0010364,0.0010364,0.0010364
75,12944,1.20776,3.2375,0.00226,0.72112,0.66086,0.72558,0.26823,1.88427,nan,0.00418,0.0010232,0.0010232,0.0010232
76,13116.3,1.16879,3.34783,0.00216,0.74144,0.64151,0.71606,0.30156,1.78299,nan,0.00386,0.00101,0.00101,0.00101
77,13291,1.15371,3.0531,0.00217,0.78874,0.69811,0.75344,0.28904,1.87626,nan,0.00415,0.0009968,0.0009968,0.0009968
78,13465,1.14349,3.099,0.0021,0.80141,0.70602,0.73713,0.28904,1.84114,nan,0.0041,0.0009836,0.0009836,0.0009836
79,13635.7,1.12816,3.15328,0.00208,0.79986,0.67067,0.76749,0.32426,1.76736,nan,0.00387,0.0009704,0.0009704,0.0009704
80,13808.1,1.18154,3.24626,0.00222,0.78964,0.69538,0.71037,0.29919,1.80018,nan,0.004,0.0009572,0.0009572,0.0009572
81,13980.8,1.18924,3.17038,0.00222,0.76076,0.70497,0.73175,0.29666,1.89029,nan,0.00425,0.000944,0.000944,0.000944
82,14153.1,1.1407,2.90483,0.00213,0.72721,0.61578,0.71406,0.2843,1.80958,nan,0.00395,0.0009308,0.0009308,0.0009308
83,14325.4,1.1881,3.14373,0.00226,0.73405,0.68611,0.71043,0.27878,1.82661,5.06806,0.00401,0.0009176,0.0009176,0.0009176
84,14497.4,1.16735,3.06006,0.00223,0.74571,0.70924,0.72814,0.28027,1.80345,5.29545,0.00397,0.0009044,0.0009044,0.0009044
85,14670.4,1.14042,3.10259,0.00215,0.71952,0.67581,0.70757,0.28426,1.85224,5.01828,0.00411,0.0008912,0.0008912,0.0008912
86,14843.3,1.13302,3.08531,0.00213,0.79722,0.67437,0.76119,0.30957,1.80938,4.91718,0.00397,0.000878,0.000878,0.000878
87,15013.7,1.11441,3.09405,0.00205,0.80144,0.5954,0.68166,0.25504,1.80537,5.44037,0.00397,0.0008648,0.0008648,0.0008648
88,15186.1,1.15327,3.11047,0.00217,0.70843,0.65848,0.69296,0.27062,1.84383,nan,0.00406,0.0008516,0.0008516,0.0008516
89,15359,1.12726,2.92719,0.00212,0.7635,0.69468,0.72502,0.29674,1.79394,4.7451,0.00396,0.0008384,0.0008384,0.0008384
90,15532,1.13373,3.06009,0.00214,0.76914,0.71012,0.74597,0.29111,1.84425,4.88982,0.00409,0.0008252,0.0008252,0.0008252
91,15709.3,1.13758,2.7947,0.00217,0.698,0.61407,0.68901,0.2735,1.87148,5.34344,0.00414,0.000812,0.000812,0.000812
92,15887.4,1.12126,2.82264,0.00213,0.76041,0.66209,0.72014,0.28833,1.82862,5.22878,0.00399,0.0007988,0.0007988,0.0007988
93,16063.9,1.14832,2.92125,0.00213,0.77538,0.71012,0.71732,0.29303,1.86187,4.92952,0.00414,0.0007856,0.0007856,0.0007856
